Chemical,TBMU-1,TBMU-2,TBMU-3,TBMU-4,TBMU-5,TBMU-6,TBMU-7,TBMU-8,TBMU-9,TBMU-10,TBMU-11,TBMU-12,TBMU-13,TBMU-14,TBMU-15,TBMU-16,TBMU-17,TBMU-18,TBMU-19,TBMU-20,TBMU-21,TBMU-22,TBMU-23,TBMU-24,TBMU-25,TBMU-26,TBMU-27,TBMU-29,TBMU-30
C4 Phenanthrene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dibenzo[a,h]anthracene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dibenzothiophene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluoranthene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluorene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indeno[1,2,3-c,d]pyrene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naphthalene,12.93845167,22.09883775,28.44281842,19.30235564,23.04221393,17.51716378,100.5455548,57.09279235,140.7135039,44.56728238,36.39063771,60.11460493,0,0,11.05658413,12.51007315,14.4836878,24.24351157,17.39974076,11.34724544,11.62474285,0,11.13221815,0,0,529.3464556,0,0,0
Phenanthrene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyrene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
